BAN_hashed,IMSI_hashed,BRAND,DEVICE_MANUFACTURER_TXT,MUNICIPALITY_NM,PROVINCE_STATE_CD,TENURE_DAY_QTY_SCALED,PRICE_PLAN,PROD_TV,PROD_INTERNET,SEGMENT_NM,LOCALITY_NM,LIFESTAGE,THREE_MONTH_AVG_WLN_BILLING_SCALED,THREE_MONTH_AVG_WLS_BILLING_SCALED
114717207,906661635071028,T,Apple,SURREY,BC,0.013142857,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.022209202,0.052744658
112418388,906660952816959,K,Samsung,PORT COQUITLAM,BC,0.261785714,$45 2GB Unltd min Plan SFD,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.029937963,0.095285166
53146188,906660062171958,T,Apple,EDMONTON,AB,0.321214286,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.021638808,0.047167023
30467094,906660089430135,T,Samsung,CALGARY,AB,0.415714286,L&R ULNW 5GB shareable data,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.017315182,0.026276368
97147194,906661629073089,T,Samsung,VANCOUVER,BC,0.125428571,3GB Premium 85 - non-share 500 nationwide minutes and unlimited text,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.024489632,0.051316281
104272857,906660105079509,T,SAMSUNG,VANCOUVER,BC,0.083571429,"Simple Share 10 - Unlimited nationwide talk, text, and 10GB of shareable data",0,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.019298064,0.082018751
104895696,906660937397472,K,Apple,SURREY,BC,0.08,$45 2GB 500 min Plan SFD,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.026961916,0.022021808
115360617,906660954695775,T,Samsung,SURREY,BC,0.0085,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.017497272,0.067768946
6637110,906660039585891,T,Apple,CALGARY,AB,0.271285714,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.030975358,0.129083868
47952417,906661636227330,T,Samsung,GRANDE PRAIRIE,AB,0.346428571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.027006721,0.03697646
87151017,906661636237062,T,Samsung,WETASKIWIN,AB,0.172857143,L&R ULNW 6GB shareable data,0,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.002671032,0.149266279
86700048,906661635264126,T,Apple,WETASKWIN,AB,0.175642857,"Simple Share 10 - Unlimited nationwide talk, text, and 10GB of shareable data",1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.047069906,0.076711165
106718982,906661629329916,T,Google,LETHBRIDGE,AB,0.069071429,4GB Premium 80 - non-share 500 nationwide minutes and unlimited text,0,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.007169855,0.039651483
77712141,906660113569614,K,Samsung,BURNABY,BC,0.309928571,$55 9GB Unltd min Plan QC SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.024954908,0.087231224
73802871,906660120849213,T,Apple,KAMLOOPS,BC,0.242571429,4GB Standard 70 - non-share 500 nationwide minutes and unlimited text,1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.021433741,0.079088964
109069809,906660105185403,T,Samsung,VANCOUVER,BC,0.054214286,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.016527084,0.035413907
87341085,906660933172968,K,Samsung,LONDON,ON,0.182357143,$50 4GB UL min Plan SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.022312597,0.034282754
103631403,906660102895863,T,Samsung,BURNABY,BC,0.086857143,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,0,Came From Away,Urban Diversity,Middle-Age Families,0.034375323,0.104896566
86671308,906660068893542,T,Samsung,RICHMOND,BC,0.150714286,L&R ULNW 6GB shareable data,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.023845138,0.104769184
68772714,906661635951813,T,Google,KELOWNA,BC,0.394071429,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.02001436,0.045135704
52691163,906660039597213,T,Samsung,VANCOUVER,BC,0.323714286,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",0,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.014309265,0.211678386
109528959,906661631273259,T,Samsung,SURREY,BC,0.051428571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.017501292,0.098797514
87797883,906660953397234,K,Samsung,VANCOUVER,BC,0.116357143,$55 11GB Unltd min Plan SFD,1,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.021649147,0.036288597
5638602,906660062691510,T,BlackBerry,COQUITLAM,BC,0.5065,"Simple Share 10 - Unlimited nationwide talk, text, and 10GB of shareable data",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.040198173,0.226952342
53672448,906660041540766,T,Apple,FORT MCMURRAY,AB,0.351214286,"Peace of Mind - Unlimited Canada-US talk, text, and endless data (10GB High Speed)",1,1,Came From Away,Urban Diversity,Middle-Age Families,0.030754782,0.118765923
13302213,906660039018849,T,Apple,CAMROSE,AB,0.45,YourChoice Premium 60 - Unlimited nationwide talk and text,0,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.0073462,0.050351574
104224341,906660951608607,K,Huawei,EDMONTON,AB,0.046428571,$45 1GB UL min Plan SFD,1,0,Came From Away,Urban Diversity,Middle-Age Families,0.010249871,0.084880601
98245710,906660112093599,T,Apple,CALGARY,AB,0.112285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.032020219,0.038060056
63191247,906660034622337,T,SAMSUNG,RICHMOND,BC,0.288,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.047095755,0.04484867
99677478,906660042382014,T,Apple,VANCOUVER,BC,0.291142857,"Peace of Mind Connect Plus - UL nationwide talk, text, and endless data (25GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.029205583,0.100117191
57161310,906661629526443,T,Apple,WHITE ROCK,BC,0.136571429,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.030580734,0.195239308
1894257,906660087254721,T,Samsung,LACOMBE,AB,0.6,YourChoice Standard 70 - Unlimited nationwide talk and text,1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.044197829,0.07173817
39566856,906660062594961,T,Apple,VANCOUVER,BC,0.388785714,YourChoice L&R Standard 55 - Unlimited nationwide talk and text,1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.036924005,0.135014776
116244102,906660954747609,T,APPLE,COQUITLAM,BC,0.002857143,"Unlimited 40 - Unlimited nationwide talk, text, and endless data (40GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.016805675,0.253900438
112490166,906660115378026,K,SAMSUNG,BURNABY,BC,0.004071429,$45 4GB UL Can mins SFD,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.019727727,0.066109583
